        100	         0	         1	      1147	
        200	         0	         1	      1258	
        300	         0	         1	      1887	
        400	         0	         2	      2177	
        500	         0	         2	      2518	
        600	         0	         3	      3828	
        700	         0	         4	      4375	
        800	         0	         5	      5053	
        900	         0	         5	      5827	
       1000	         0	         7	      7585	
        100	         0	         1	      1714	
        200	         0	         1	      1252	
        300	         0	         1	      1887	
        400	         0	         2	      2228	
        500	         0	         2	      2517	
        600	         0	         3	      3792	
        700	         0	         4	      4387	
        800	         0	         5	      5051	
        900	         0	         5	      5864	
       1000	         0	         7	      7617	
        100	         0	         1	      1150	
        200	         0	         1	      1219	
        300	         0	         1	      1831	
        400	         0	         2	      2118	
        500	         0	         2	      2465	
        600	         0	         3	      3705	
        700	         0	         4	      4316	
        800	         0	         4	      4944	
        900	         0	         5	      5737	
       1000	         0	         7	      7472	
        100	         0	         1	      1479	
        200	         0	         1	      1608	
        300	         0	         2	      2415	
        400	         0	         2	      2811	
        500	         0	         3	      3366	
        600	         0	         5	      5167	
        700	         0	         6	      6084	
        800	         0	         7	      7143	
        900	         0	         7	      7737	
       1000	         0	         7	      7468	
        100	         0	         1	      1112	
        200	         0	         1	      1218	
        300	         0	         1	      1841	
        400	         0	         2	      2113	
        500	         0	         2	      2483	
        600	         0	         3	      3716	
        700	         0	         4	      4379	
        800	         0	         4	      4965	
        900	         0	         5	      5750	
       1000	         0	         7	      7513	
        100	         0	         1	      1094	
        200	         0	         1	      1219	
        300	         0	         1	      1838	
        400	         0	         2	      2148	
        500	         0	         2	      2472	
        600	         0	         3	      3714	
        700	         0	         4	      4312	
        800	         0	         4	      4963	
        900	         0	         5	      5796	
       1000	         0	        10	     10817	
        100	         0	         1	      1127	
        200	         0	         1	      1253	
        300	         0	         1	      1874	
        400	         0	         2	      2163	
        500	         0	         2	      2507	
        600	         0	         3	      3800	
        700	         0	         4	      4377	
        800	         0	         5	      5050	
        900	         0	         5	      5975	
       1000	         0	        10	     10775	
        100	         0	         1	      1076	
        200	         0	         1	      1186	
        300	         0	         1	      1767	
        400	         0	         2	      2063	
        500	         0	         2	      2403	
        600	         0	         3	      3623	
        700	         0	         4	      4260	
        800	         0	         4	      4931	
        900	         0	         5	      5770	
       1000	         0	        10	     10666	
        100	         0	         1	      1471	
        200	         0	         1	      1632	
        300	         0	         2	      2427	
        400	         0	         3	      3182	
        500	         0	         2	      2455	
        600	         0	         3	      3753	
        700	         0	         4	      4313	
        800	         0	         5	      5027	
        900	         0	         5	      5806	
       1000	         0	         7	      7612	
        100	         0	         1	      1095	
        200	         0	         1	      1215	
        300	         0	         1	      1839	
        400	         0	         2	      2106	
        500	         0	         2	      2472	
        600	         0	         3	      3701	
        700	         0	         4	      4324	
        800	         0	         5	      5029	
        900	         0	         5	      5822	
       1000	         0	         7	      7538	
