2020年 01月 14日 星期二 17:48:56 CST
       N  	      loop	  time(ms)	  time(us)
      8000	         7	        14	     14777
      8000	         8	        14	     14462
      8000	         9	         9	      9978
      N   	   average	       ms 	        us
      8000	      AVER	 16.900000	17519.099609
para  :31996000
       N  	      loop	  time(ms)	  time(us)
      9000	         0	        47	     47353
      9000	         1	        22	     22470
      9000	         2	        12	     12883
      9000	         3	        12	     12665
      9000	         4	        12	     12781
      9000	         5	        13	     13517
      9000	         6	        13	     13166
      9000	         7	        13	     13296
      9000	         8	        13	     13214
      9000	         9	        13	     13116
      N   	   average	       ms 	        us
      9000	      AVER	 17.000000	17446.099609
para  :40495500
       N  	      loop	  time(ms)	  time(us)
     10000	         0	        18	     18652
     10000	         1	        16	     16346
     10000	         2	        16	     16482
     10000	         3	        16	     16592
     10000	         4	        16	     16243
      N   	   average	       ms 	        us
     10000	      AVER	 16.400000	16863.000000
para  :49995000
       N  	      loop	  time(ms)	  time(us)
     20000	         0	        77	     77841
     20000	         1	        64	     64493
     20000	         2	        64	     64132
     20000	         3	        59	     59712
     20000	         4	        58	     58626
      N   	   average	       ms 	        us
     20000	      AVER	 64.400002	64960.800781
para  :199990000
       N  	      loop	  time(ms)	  time(us)
     30000	         0	       145	    145541
     30000	         1	       132	    132406
     30000	         2	       131	    131587
     30000	         3	       131	    131676
     30000	         4	       131	    131520
      N   	   average	       ms 	        us
     30000	      AVER	134.000000	134546.000000
para  :449985000
       N  	      loop	  time(ms)	  time(us)
     40000	         0	       238	    238320
     40000	         1	       233	    233930
     40000	         2	       233	    233718
     40000	         3	       234	    234127
     40000	         4	       235	    235319
      N   	   average	       ms 	        us
     40000	      AVER	234.600006	235082.796875
para  :799980000
       N  	      loop	  time(ms)	  time(us)
     50000	         0	       382	    382269
     50000	         1	       364	    364918
     50000	         2	       365	    365899
     50000	         3	       365	    365571
     50000	         4	       364	    364718
      N   	   average	       ms 	        us
     50000	      AVER	368.000000	368675.000000
para  :1249975000
       N  	      loop	  time(ms)	  time(us)
     60000	         0	       538	    538079
     60000	         1	       525	    525990
     60000	         2	       525	    525516
     60000	         3	       524	    524924
     60000	         4	       525	    525838
      N   	   average	       ms 	        us
     60000	      AVER	527.400024	528069.375000
para  :1799970000
       N  	      loop	  time(ms)	  time(us)
     70000	         0	       718	    718153
     70000	         1	       715	    715844
     70000	         2	       715	    715052
     70000	         3	       714	    714730
     70000	         4	       715	    715530
      N   	   average	       ms 	        us
     70000	      AVER	715.400024	715861.812500
para  :-1845002296
       N  	      loop	  time(ms)	  time(us)
     80000	         0	       988	    988988
     80000	         1	       933	    933660
     80000	         2	       936	    936311
     80000	         3	       935	    935479
     80000	         4	       933	    933092
      N   	   average	       ms 	        us
     80000	      AVER	945.000000	945506.000000
para  :-1095007296
       N  	      loop	  time(ms)	  time(us)
     90000	         0	      1217	   1217143
     90000	         1	      1180	   1180318
     90000	         2	      1179	   1179999
     90000	         3	      1190	   1190048
     90000	         4	      1180	   1180793
      N   	   average	       ms 	        us
     90000	      AVER	1189.199951	1189660.250000
para  :-245012296
       N  	      loop	  time(ms)	  time(us)
    100000	         0	      1477	   1477526
    100000	         1	      1457	   1457584
    100000	         2	      1457	   1457178
      N   	   average	       ms 	        us
    100000	      AVER	1463.666626	1464096.000000
para  :704982704
       N  	      loop	  time(ms)	  time(us)
    200000	         0	      5878	   5878774
    200000	         1	      5831	   5831433
    200000	         2	      5825	   5825053
      N   	   average	       ms 	        us
    200000	      AVER	5844.666504	5845086.500000
para  :-1474936480
       N  	      loop	  time(ms)	  time(us)
    300000	         0	     13141	  13141821
    300000	         1	     13105	  13105897
    300000	         2	     13105	  13105124
      N   	   average	       ms 	        us
    300000	      AVER	13117.000000	13117613.000000
para  :2050177040
       N  	      loop	  time(ms)	  time(us)
    400000	         0	     23361	  23361353
    400000	         1	     23306	  23306551
    400000	         2	     23297	  23297627
      N   	   average	       ms 	        us
