from file: ../data_format1/1w_9w_step1w.txt  read 9 rows. 
     Queen	 conflicts	  time(ms)
     -----	 ---------	  --------
     10000	         0	       289
     20000	         0	      1048
     30000	         0	      2373
     40000	         0	      4244
     50000	         0	      6558
     60000	         0	      9439
     70000	         0	     12861
     80000	         0	     16775
     90000	         0	     21246
