100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020000	0.000000	0.000000	0.000000	0.100000	0.000000	0.300000	0.400000	0.900000	0.800000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.100000	1.200000	1.200000	1.500000	1.800000	1.900000	2.000000	2.000000	1.900000	2.000000	2.000000	2.170000	2.600000	2.200000	2.100000	2.500000	2.900000	2.400000	2.900000	2.900000	3.000000	2.900000	3.000000	3.100000	3.000000	3.000000	2.000000	3.200000	2.300000	3.200000	3.500000	3.740000	
200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.700000	0.000000	0.000000	0.000000	0.000000	0.100000	0.100000	0.000000	0.200000	0.600000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.100000	1.100000	1.000000	1.100000	1.200000	1.900000	2.000000	1.000000	1.000000	2.000000	2.000000	2.000000	2.040000	2.700000	2.100000	2.000000	2.500000	2.400000	2.700000	3.200000	2.900000	3.000000	2.900000	3.100000	3.100000	3.000000	3.000000	3.100000	3.300000	3.000000	3.800000	4.600000	3.150000	
300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.100000	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.600000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.100000	1.300000	1.900000	1.700000	2.000000	1.900000	2.020000	2.000000	2.000000	2.100000	2.000000	2.000000	2.000000	2.100000	2.100000	2.000000	2.200000	3.500000	3.000000	2.400000	2.500000	2.800000	3.100000	2.000000	3.000000	4.000000	3.340000	
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020000	0.000000	0.000000	0.000000	0.100000	0.000000	0.500000	0.000000	0.900000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.200000	1.400000	1.300000	1.600000	2.000000	1.900000	1.800000	1.900000	2.030000	2.100000	2.000000	2.000000	2.000000	2.000000	2.200000	2.000000	2.100000	2.400000	2.900000	3.000000	3.000000	2.500000	3.200000	3.000000	3.000000	3.000000	3.100000	3.500000	3.090000	
500	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.000000	0.000000	0.100000	0.300000	0.600000	1.000000	1.000000	1.020000	1.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.900000	1.100000	1.200000	1.600000	1.700000	1.000000	2.000000	1.900000	2.000000	2.000000	2.000000	2.010000	2.800000	2.000000	2.000000	2.000000	2.300000	2.800000	3.000000	2.700000	3.000000	2.900000	3.100000	3.000000	2.900000	3.000000	3.000000	3.400000	2.900000	3.600000	3.500000	3.680000	
600	1.000000	0.100000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.100000	0.000000	0.000000	0.000000	0.000000	0.200000	0.800000	1.000000	0.100000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.300000	1.000000	1.100000	1.700000	1.600000	1.800000	2.100000	2.000000	2.000000	2.000000	2.000000	2.110000	2.700000	2.500000	2.500000	2.000000	2.600000	3.000000	3.000000	3.000000	3.100000	3.100000	3.000000	3.000000	3.000000	3.100000	3.000000	3.800000	4.000000	4.000000	4.000000	3.890000	
700	2.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.100000	0.000000	0.000000	0.200000	0.200000	0.400000	0.800000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.600000	1.000000	1.000000	1.000000	1.100000	1.200000	2.000000	1.700000	2.400000	2.000000	2.000000	2.000000	2.000000	2.000000	2.020000	2.900000	2.800000	2.900000	2.500000	3.000000	3.000000	3.000000	3.200000	3.200000	3.000000	3.000000	3.100000	3.400000	3.400000	3.400000	4.000000	4.000000	4.000000	3.900000	3.520000	
800	2.300000	1.000000	1.000000	0.100000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.000000	0.200000	0.400000	0.800000	0.700000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.200000	1.100000	1.300000	2.000000	2.000000	2.000000	2.000000	2.100000	2.000000	2.000000	2.000000	2.000000	2.030000	2.900000	2.700000	2.900000	2.700000	3.000000	3.000000	3.000000	3.000000	3.200000	3.500000	3.100000	3.400000	3.700000	3.500000	3.900000	4.600000	4.000000	4.000000	4.000000	3.250000	
900	3.000000	1.100000	1.000000	1.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.020000	0.200000	0.100000	0.100000	0.100000	0.400000	1.800000	1.000000	1.000000	1.000000	1.000000	1.000000	1.100000	1.000000	1.000000	1.000000	1.000000	1.100000	1.500000	1.200000	1.300000	1.500000	2.000000	2.000000	2.000000	2.100000	2.000000	2.000000	2.100000	2.000000	2.090000	2.900000	2.800000	2.900000	2.900000	3.800000	2.900000	3.000000	3.000000	3.100000	3.900000	3.500000	3.100000	3.400000	3.600000	3.800000	3.500000	4.000000	4.000000	4.000000	3.930000	
1000	4.000000	2.000000	1.000000	1.000000	1.000000	0.600000	0.200000	0.300000	0.100000	0.070000	0.800000	0.100000	0.600000	0.200000	1.000000	1.000000	1.000000	1.000000	1.000000	1.030000	1.000000	1.000000	1.000000	1.000000	1.000000	1.100000	1.200000	1.900000	2.000000	2.000000	1.700000	2.000000	2.000000	2.000000	2.000000	2.000000	2.100000	2.200000	2.500000	2.060000	2.800000	2.900000	3.000000	3.000000	3.000000	3.000000	3.000000	3.100000	3.000000	3.000000	3.100000	3.300000	4.300000	3.500000	4.000000	3.800000	4.100000	4.700000	4.000000	3.910000	
2000	17.000000	8.100000	5.700000	4.000000	3.100000	3.000000	2.000000	2.000000	2.000000	2.000000	2.000000	1.900000	1.600000	1.100000	1.000000	1.300000	1.000000	1.000000	1.900000	1.880000	2.000000	2.000000	2.100000	2.000000	2.000000	2.100000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.100000	2.000000	2.700000	2.100000	2.700000	3.000000	2.800000	2.410000	3.000000	3.000000	3.000000	3.800000	3.000000	3.000000	3.000000	3.400000	3.200000	3.400000	4.000000	3.900000	4.000000	4.000000	3.900000	4.000000	4.000000	4.000000	4.000000	3.980000	
3000	39.000000	19.200001	13.000000	9.900000	8.000000	6.100000	5.600000	5.000000	4.100000	4.090000	4.000000	3.000000	3.000000	3.200000	3.000000	3.000000	4.000000	3.400000	4.100000	3.930000	4.000000	4.000000	4.000000	4.000000	4.300000	4.000000	3.600000	4.000000	3.400000	3.400000	4.100000	3.500000	3.600000	3.300000	3.700000	4.000000	3.600000	3.400000	3.900000	3.400000	3.700000	4.000000	4.000000	3.900000	4.000000	4.000000	4.100000	4.000000	4.000000	4.100000	4.000000	4.000000	4.300000	4.100000	4.600000	4.200000	4.300000	4.400000	4.900000	4.170000	
4000	68.800003	34.400002	23.000000	17.000000	14.000000	11.200000	10.000000	9.200000	8.000000	7.000000	6.100000	6.000000	6.000000	5.000000	5.400000	5.000000	4.200000	4.900000	7.600000	6.330000	7.000000	7.000000	6.800000	6.000000	6.000000	6.000000	6.000000	6.400000	6.400000	5.800000	6.200000	6.400000	6.500000	6.100000	6.200000	5.800000	6.300000	6.100000	6.000000	6.120000	6.500000	6.300000	6.300000	6.000000	6.600000	5.600000	5.700000	5.700000	5.800000	6.100000	5.700000	5.600000	5.300000	5.900000	5.800000	6.000000	5.900000	5.900000	6.300000	5.630000	
5000	109.000000	54.000000	36.099998	28.600000	21.600000	18.000000	15.400000	14.000000	12.100000	11.090000	10.000000	9.100000	9.000000	8.000000	8.000000	7.100000	7.600000	8.800000	10.800000	10.270000	11.000000	10.100000	10.000000	9.700000	9.100000	9.000000	9.000000	8.300000	8.600000	8.200000	8.000000	8.700000	7.700000	7.700000	8.600000	9.400000	9.400000	8.400000	9.700000	8.700000	9.000000	8.300000	8.800000	8.400000	8.300000	8.400000	8.700000	8.500000	8.900000	9.000000	8.500000	8.400000	7.800000	8.400000	8.300000	9.000000	9.000000	8.100000	8.400000	8.070000	
6000	131.800003	78.000000	52.000000	39.599998	31.299999	26.000000	22.299999	19.799999	17.299999	16.250000	14.200000	13.100000	12.100000	11.600000	11.900000	10.700000	10.000000	12.600000	13.900000	14.800000	15.100000	14.900000	14.000000	13.900000	13.000000	13.000000	12.600000	12.000000	11.900000	12.300000	11.600000	12.100000	11.600000	11.000000	12.500000	11.900000	12.300000	11.500000	12.200000	12.180000	13.100000	13.100000	11.700000	12.200000	11.800000	12.000000	11.800000	11.700000	11.300000	11.400000	11.900000	11.800000	12.200000	11.400000	11.400000	11.600000	11.600000	11.800000	11.600000	11.120000	
7000	166.600006	106.099998	70.699997	53.000000	42.299999	35.500000	30.400000	27.000000	24.000000	21.330000	19.700001	18.000000	17.100000	15.700000	15.000000	14.000000	15.400000	16.100000	18.799999	18.160000	20.000000	19.700001	19.000000	18.100000	17.700001	17.000000	16.200001	16.000000	15.100000	15.000000	15.400000	15.000000	15.500000	15.000000	14.200000	15.600000	15.600000	15.200000	15.300000	15.910000	16.100000	16.600000	16.700001	16.000000	15.800000	15.700000	16.500000	15.500000	15.100000	15.100000	14.200000	14.500000	16.500000	15.800000	15.200000	14.800000	13.600000	14.700000	15.000000	14.880000	
8000	218.699997	138.300003	92.800003	69.099998	55.700001	46.299999	40.200001	37.200001	31.000000	28.030001	25.299999	23.299999	22.000000	20.200001	19.000000	18.000000	20.200001	20.500000	22.200001	24.920000	26.299999	25.299999	24.299999	23.700001	22.900000	22.100000	21.100000	20.799999	20.000000	19.000000	19.100000	18.799999	18.000000	17.799999	19.200001	18.900000	18.600000	19.299999	19.600000	20.160000	21.600000	20.299999	20.700001	20.600000	19.799999	20.200001	19.400000	19.299999	19.400000	20.500000	19.100000	19.000000	19.700001	19.400000	18.700001	18.200001	17.700001	20.000000	19.700001	18.930000	
9000	259.100006	171.000000	117.400002	88.199997	70.099998	59.400002	50.400002	44.400002	39.200001	35.490002	32.200001	30.000000	29.799999	25.799999	24.000000	22.299999	23.200001	23.799999	30.900000	30.209999	33.599998	32.200001	31.000000	30.000000	28.400000	27.400000	26.900000	26.000000	25.000000	24.000000	25.000000	23.900000	22.000000	25.700001	24.299999	24.000000	24.200001	25.299999	25.299999	24.840000	26.600000	26.400000	26.700001	26.000000	26.299999	24.100000	25.100000	23.700001	24.299999	23.700001	25.000000	23.700001	25.100000	24.200001	23.299999	24.200001	24.400000	24.299999	25.000000	23.650000	
10000	316.000000	205.000000	144.600006	109.000000	87.400002	72.599998	62.000000	55.200001	48.599998	43.759998	40.000000	36.599998	34.200001	31.400000	29.400000	28.000000	31.400000	32.599998	39.200001	39.020000	41.200001	39.400002	38.000000	36.400002	35.000000	34.000000	32.200001	31.600000	30.600000	29.600000	30.200001	29.400000	27.600000	29.200001	30.200001	28.799999	30.200001	30.000000	28.000000	28.600000	29.200001	30.600000	30.600000	29.200001	29.000000	30.799999	29.000000	32.599998	28.799999	29.400000	28.799999	29.600000	28.000000	29.799999	28.799999	30.400000	28.600000	30.200001	29.400000	28.980000	
20000	1098.000000	616.599976	437.799988	388.600006	279.000000	257.600006	230.000000	209.199997	186.199997	170.160004	159.199997	149.000000	135.600006	125.000000	117.800003	122.800003	107.400002	104.400002	135.199997	136.000000	152.800003	142.000000	137.800003	143.199997	137.600006	130.800003	128.000000	123.199997	120.599998	115.000000	113.000000	110.599998	106.400002	102.000000	103.000000	99.800003	98.599998	100.800003	99.400002	95.480003	103.000000	101.400002	105.800003	102.000000	104.400002	102.199997	108.400002	103.000000	100.599998	100.199997	102.400002	103.000000	101.400002	96.599998	100.000000	100.199997	100.599998	96.199997	99.400002	96.139999	
30000	2417.800049	1260.599976	885.200012	741.000000	613.400024	523.200012	479.200012	431.399994	372.200012	350.980011	299.799988	281.799988	261.600006	264.200012	253.399994	242.000000	222.399994	227.399994	245.600006	253.759995	254.800003	253.199997	251.800003	260.399994	246.199997	250.600006	249.800003	233.800003	245.000000	230.399994	227.000000	219.199997	215.199997	219.000000	211.800003	200.399994	196.199997	188.399994	176.800003	174.880005	205.399994	188.600006	195.199997	195.000000	187.600006	187.000000	196.800003	188.600006	192.399994	189.800003	177.000000	191.600006	184.000000	172.399994	190.399994	184.000000	191.399994	186.199997	173.199997	178.179993	
40000	4300.200195	2375.399902	1496.800049	1206.199951	932.599976	856.400024	725.000000	632.599976	641.200012	527.820007	547.799988	479.600006	456.000000	482.600006	374.399994	402.200012	349.000000	336.000000	328.200012	389.760010	381.000000	417.799988	391.399994	380.600006	378.600006	375.000000	375.799988	369.200012	363.799988	366.799988	346.200012	330.200012	324.399994	317.799988	315.200012	302.399994	297.799988	288.000000	291.600006	257.720001	281.799988	298.600006	293.799988	297.399994	304.000000	296.200012	294.799988	283.200012	283.399994	293.399994	286.000000	284.600006	274.600006	278.600006	283.399994	268.600006	272.000000	279.600006	268.799988	268.279999	
50000	6634.200195	3352.600098	2351.000000	1771.400024	1403.599976	1251.199951	1114.199951	967.599976	847.200012	807.140015	804.799988	708.200012	697.599976	578.599976	564.799988	542.400024	518.599976	521.599976	565.799988	542.979980	599.599976	621.599976	591.799988	573.799988	541.599976	534.000000	521.000000	512.599976	495.000000	506.600006	506.000000	487.799988	471.600006	452.000000	436.600006	426.000000	423.399994	402.600006	402.799988	381.279999	421.000000	440.200012	441.000000	437.799988	445.600006	417.200012	432.399994	436.200012	424.000000	423.200012	424.600006	415.799988	406.600006	415.000000	405.200012	397.600006	409.000000	405.200012	399.799988	397.019989	
60000	9499.599609	4805.600098	3248.199951	2481.199951	1991.800049	1837.199951	1469.000000	1285.400024	1181.000000	1112.859985	947.599976	907.200012	914.200012	816.799988	741.000000	726.400024	784.200012	675.000000	636.200012	729.460022	851.599976	814.799988	777.799988	754.400024	733.799988	723.799988	738.799988	682.000000	679.000000	665.400024	662.799988	644.000000	632.599976	632.799988	618.599976	590.599976	576.799988	567.000000	552.599976	526.359985	624.599976	667.000000	654.799988	647.200012	609.000000	614.000000	612.200012	588.599976	614.599976	602.400024	582.200012	575.599976	553.799988	579.799988	574.200012	562.400024	564.400024	567.200012	554.799988	558.859985	
70000	12867.000000	6499.399902	4978.399902	3481.399902	2686.000000	2286.600098	2110.199951	1762.199951	1532.400024	1448.479980	1355.400024	1307.400024	1156.199951	1059.400024	1081.400024	942.799988	1094.599976	850.400024	920.799988	930.280029	1127.599976	1039.000000	1041.000000	967.200012	923.400024	892.400024	911.799988	890.400024	879.000000	873.599976	881.599976	880.599976	833.799988	816.200012	810.200012	761.799988	758.000000	762.200012	741.599976	694.140015	854.599976	851.200012	840.799988	855.799988	860.000000	841.200012	812.799988	807.799988	803.200012	768.799988	811.200012	762.799988	772.799988	754.799988	759.799988	769.400024	760.200012	758.200012	748.000000	743.700012	
80000	17114.599609	8438.599609	6015.200195	4335.000000	3610.800049	3225.000000	2651.800049	2614.399902	2108.800049	1821.979980	1673.599976	1770.400024	1424.599976	1408.000000	1274.800049	1206.800049	1248.000000	1239.000000	1269.599976	1134.839966	1381.400024	1285.800049	1311.400024	1249.400024	1216.599976	1133.800049	1167.800049	1129.199951	1077.599976	1065.400024	1119.800049	1101.000000	1071.599976	1034.000000	1014.599976	1004.400024	968.000000	943.400024	920.599976	885.400024	1093.800049	1128.000000	1066.400024	1078.000000	1073.599976	1065.599976	1034.199951	1059.599976	1031.199951	1028.800049	1012.000000	990.000000	999.599976	987.799988	988.200012	968.000000	957.200012	976.000000	942.400024	951.580017	
90000	22266.199219	11009.400391	7529.000000	5471.399902	4460.399902	3709.000000	3132.000000	3165.399902	2677.199951	2334.320068	2050.000000	1981.000000	1855.400024	1812.800049	1647.400024	1515.599976	1438.199951	1363.199951	1582.199951	1410.719971	1684.599976	1616.800049	1567.800049	1520.000000	1503.000000	1380.599976	1354.400024	1341.400024	1381.199951	1357.199951	1378.599976	1361.400024	1314.800049	1280.599976	1254.400024	1249.400024	1209.000000	1167.199951	1145.400024	1123.160034	1313.800049	1329.400024	1363.599976	1330.400024	1325.800049	1310.199951	1320.800049	1289.400024	1277.400024	1242.000000	1243.599976	1256.800049	1250.800049	1209.000000	1227.000000	1191.199951	1209.599976	1203.000000	1186.199951	1194.699951	
100000	26257.000000	13478.333008	8834.666992	6663.666504	6093.333496	4817.000000	4446.000000	3410.333252	3246.333252	2894.899902	2520.666748	2333.333252	2335.666748	2031.333374	1880.000000	1900.666626	1650.666626	1793.666626	1551.333374	1705.000000	2049.000000	2023.333374	1885.333374	1785.000000	1776.000000	1670.000000	1649.333374	1641.000000	1592.000000	1521.000000	1679.333374	1624.000000	1619.000000	1564.666626	1536.333374	1494.000000	1481.333374	1437.000000	1402.666626	1398.500000	1531.000000	1660.666626	1642.333374	1597.333374	1646.666626	1577.333374	1564.000000	1575.333374	1570.333374	1526.000000	1519.666626	1502.333374	1504.666626	1474.666626	1484.666626	1467.000000	1453.000000	1481.333374	1453.666626	1473.699951	
200000	109895.664062	52645.000000	36423.000000	27459.333984	21665.666016	17974.333984	15142.666992	13278.333008	12403.000000	10749.700195	10001.666992	9440.333008	8539.000000	8540.333008	8129.333496	6690.666504	6927.333496	6225.666504	5759.000000	5928.500000	7235.333496	7438.000000	6811.333496	6694.333496	6485.000000	6333.666504	6273.333496	6074.333496	6269.666504	5776.000000	6077.333496	5879.333496	5762.000000	5645.666504	5608.666504	5587.666504	5514.000000	5504.666504	5369.000000	5260.200195	5482.666504	5702.666504	5734.333496	5854.000000	5636.333496	5776.333496	5995.000000	5710.333496	5709.333496	5505.333496	5732.666504	5520.000000	5606.666504	5649.666504	5555.666504	5596.666504	5607.333496	5573.666504	5538.666504	5555.000000	
300000	241233.328125	118737.000000	78602.335938	60119.000000	48099.000000	40410.332031	34821.000000	31267.000000	27375.333984	23698.400391	21604.333984	19937.666016	18727.000000	18308.666016	16698.000000	14923.000000	16725.000000	14777.666992	14396.333008	12831.599609	16171.666992	16200.333008	15444.666992	14782.000000	14337.000000	14188.000000	13497.333008	13534.666992	13645.666992	12924.000000	13082.666992	12864.666992	12666.666992	12589.000000	12246.333008	12305.333008	12173.000000	12121.000000	11968.000000	11777.500000	12258.333008	12265.666992	12420.333008	12309.000000	12421.666992	12791.333008	12563.666992	12227.000000	12362.000000	12408.000000	12385.666992	12150.000000	12394.000000	12222.000000	12209.333008	12209.333008	12281.333008	12238.000000	12201.333008	12161.900391	
